dataset,method,acc,loss,brier,ece
balance-scale,var_bayes,0.984,0.0693332552909851,0.0149917530680697,0.028401212722063
balance-scale,sigmoid,0.984,0.0893472880125045,0.0161199366136489,0.0513870194686546
balance-scale,isotonic,0.984,0.0921528041362762,0.027836462206189,0.0531179771423339
balance-scale,beta,0.984,0.0807710140943527,0.0175650403854653,0.0429876807339632
mfeat-karhunen,None,0.9825,0.0562592223286628,0.0139323093968156,0.008659831136465
mfeat-karhunen,var_bayes,0.975,0.0678569674491882,0.0211777370219022,0.011910408478402
mfeat-karhunen,sigmoid,0.985,0.121015764772892,0.0139345755911507,0.011942411420983
mfeat-karhunen,isotonic,0.985,0.1653972268104553,0.0136575614214088,0.0125835246755741
mfeat-karhunen,beta,0.985,0.0521148703992366,0.0123806019759346,0.0112772202265992
letter,None,0.9941428571428572,0.015198241919279,0.0043852533930787,0.0014735678774969
letter,var_bayes,0.9954285714285714,0.0120772086083889,0.0033643802381967,0.0005070882006938
letter,sigmoid,0.994,0.02232376486063,0.0049372189463146,0.0020538462295518
letter,isotonic,0.9941428571428572,0.0154914688318967,0.0044899209990641,0.0020316328299897
letter,beta,0.994,0.0150661086663603,0.0044731437758159,0.0011787189189223
optdigits,None,0.9839857651245552,0.0861710384488105,0.01887862297599,0.0306748229731868
optdigits,var_bayes,0.9884341637010676,0.0478537827730178,0.009811215852418,0.006174416714937
optdigits,sigmoid,0.9848754448398576,0.0636618360877037,0.0132484013309761,0.0053116002773251
optdigits,isotonic,0.9839857651245552,0.0868456810712814,0.0124398110615225,0.008209882269272
optdigits,beta,0.9875444839857652,0.0560505352914333,0.0120022104995695,0.0091499673755018
